name,description,coordinates,image_url,category,country,city,address,rating,price,website
The Great Pyramid of Giza,OPERATIONAL,"29.9792354,31.1342611",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zJGSyloZGiMH583viqYt_DCl7Dp94lFE-TuMPtadoPDGWSeGBiHdPvetKT5zfnP-SNsyo0pvP5URJNNFUP5MJkhwmPwZQxlSFGom0timWzXvpYB1F2LkiBUw1z3PRhbj4TjA5-9cd7D5lPCFIXJdAlI9aONCGwUH6AfKZUiZtp8yKU&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Egypt,Al Haram,"Al Haram, Nazlet El-Semman, Al Haram, Giza Governorate 3512201, Egypt",4.6,,
Great Wall of China,OPERATIONAL,"40.4319077,116.5703749",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27xMQ4DqhMOHuy3jKA3IjcSnt7GMp-6Ha54Y55uqAOYfp228CUCVh9ZeTgo9wfv86nbkQ2vUb0ajqM5Hcwz_ttivmvr2YKPfYn6viYm3N-__R8aghzJ-Lx72LXYnCmtLy0NWITAtya-SILpN4Ykpmd4lFpMYGnhMSuS3IGTgHh847Fus&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",101406,Huairou District,"Huairou District, China, 101406",4.3,,
Acropolis of Athens,OPERATIONAL,"37.9715323,23.7257492",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zWfhvX7QQ5mQFHaCBgtjk3qS-j6DDwzyGDpB3-3N82jMksGeFTW7tHDAPlw4qH7vfHj3v5603L7N-UCQP8kHrrz1wGOfQ-oiRso_9quHpU2duIGEYYMlYP13oxHrqQfa06Uf0UkPbyHV2Z-Y6MsZZwbzBwFKtnMRyj8z5QzxJtKWQ&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Greece,,"Athens 105 58, Greece",4.8,,
Historic Sanctuary of Machu Picchu,OPERATIONAL,"-13.1631988,-72.5452621",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27yiIPfUa7Rbty8hRf0vbEexBFjEKuc20FZFfrKbAxn_VDwSVg1WCgDGDJX6Tzbp81mhO3iRY_RMFa-i6hBU3IwiavcQ7ePp3Yj1fRlLVfAd7lGtP-P1z048-mLiRox2aOIPO7edwdGRDbz4AcElhjsXU1XN7QhfUUjoP9fcq0jf_0F0&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Peru,,"08680, Peru",4.8,,
Angkor Wat,OPERATIONAL,"13.4124693,103.8669857",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27wx4-Xp4-AkXXwRMXjEbgJfpq0lppVUTbIiwQ-a5elWZMsfa2STIIFmJmXpSJnoKXIlyCSox3xMqLPbWh4wY6OuBsmo6gvjxi_t2-vR1YuYh70CvBIK54lDMJ2xu05weWdtYq_TiMXbLw259Rdtm-Mv_65SX2eUqVrGtak_KFcD6HqL&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, hindu_temple, landmark, place_of_worship, point_of_interest, establishment",Cambodia,,"Krong Siem Reap, Cambodia",4.8,,
Statue of Liberty,OPERATIONAL,"40.6892494,-74.04450039999999",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27ymSHKblwkmLJnb8BH6MWL3jcfIDFgqVqKNUBFyvDTo3b9bQao318bXgh9FbFXXTrKqtIpqq8DukjoinDl3vwpw5kYN7lXa7ZgCtgHs0XlsqA3RFz-eBgj26HUAe196qabuRwUVe6F7LRugseMVWlxe74KaqNWZnH8G66liYbVCjIc5&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",United States,New York,"New York, NY 10004, United States",4.7,,
Taj Mahal,OPERATIONAL,"27.1751448,78.0421422",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27y3HJqY6vANwKxYzDylMy7pk_4RUvlHue_apIfKFhJYYjG4hwMTIcz7nmvgQDncSBcnPnGJf0WjbE0T4upwky4JCwMa-nlJpKB8mNJ-5O7x3pDT0ac1fyG48-R321zrhtP3cqPwVXHH5FRixsUCxdxzB8CcVuJ--Z6UIhBp_bGeKYGI&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",India,Agra,"Dharmapuri, Forest Colony, Tajganj, Agra, Uttar Pradesh 282001, India",4.6,,
Eiffel Tower,OPERATIONAL,"48.85837009999999,2.2944813",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27yIA9QTGhEzUwfJU6Xk4Ic2GJ-TemHf5SReSWY6bJkIPcBkvplButOKC8JymRbiTYTM2Le4Os5MR5hza6MBlY9NadzNQ5iPN6BKl0LK24tSD1voAoWho_krzsjE4CJyC81z6eoQTZgU85Uyg3ruD1DBh77t13NlwTQAbuQA0B8JBPfL&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",France,Av. Gustave Eiffel,"Av. Gustave Eiffel, 75007 Paris, France",4.7,,
Uluṟu-Kata Tjuṯa National Park,OPERATIONAL,"-25.3437797,131.0346514",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27xfVGPbEHhwDN1Cw9nSUfXoY3lTvxFDW-jHjE1hVJ5DSRL1YcTMcM3gIhypawkebW8aLw78sLLH9tmN5gIwjmsHyakkE16AYM2WwDkrQFVd95r9TXTEOcEWAiw6D6rrbrJtJwJLqZio9lSn1SOy-3atoLJw6ULuBHD88Dl03gV64T6g&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, park, point_of_interest, establishment",Australia,Lasseter Hwy,"Lasseter Hwy, Uluru NT 0872, Australia",4.8,,
St. Basil's Cathedral,OPERATIONAL,"55.7525229,37.6230868",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27yHlq67pOOTtGUXiszYQuc9BFDuSbrc086lBaQb180EmdYOYsxHxkiirYiTeuXmvHLgcQIy6gccXrodv5ZQ6v2hRp2tP8_hb4CUosb6vZWG9ubPNgIQzroKSYwmAvbxyDiKQCPSgCfMX8EFgDCr0Bss4UWTWGEK0S03KVCd88zMbZEN&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, church, museum, place_of_worship, point_of_interest, establishment",109012,Moscow,"Red Square, 7, Moscow, Russia, 109012",4.8,,
Great Sphinx of Giza,OPERATIONAL,"29.9752687,31.1375674",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zRwDo50pmYNcylq6GMmBPfFLPPW4-Ao9DDDCd955rha4DNwCC1BVel4xNi-AfM3mon04-Vua14Orut1axhisjFdIAQwBD5s2LLT6xbrY4vFAS2Of4_uUvhxIYwrSLHXLciGATaiUtoy83GUFhcNGou1SFpMjVE_-DbdcPfFE4XgtBF&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Egypt,Al Haram,"Al Haram, Giza Governorate 3512201, Egypt",4.7,,
Beautiful Blue Domed Church of Oia,OPERATIONAL,"36.4614041,25.3752077",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zZmGzyprpZ45hLekb3PJDpxCWLMfZ_mDqYlj5d2LDv1Yxklj6YqLVqnzionAdFD8zTFFkmdseUF8yaXMWYJql-x8cjytUVZbYjHNZU2xgtSim7s7AD7RYMe79QnGImol2aIi9TQNUYLc98Zur1ahnsXWvUD5lMCZncb-Pxvy4_4wt0&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Greece,Nik. Nomikou,"Nik. Nomikou, Oía 847 02, Greece",4.5,,
Lipenská víla (The Little Mermaid),OPERATIONAL,"48.6397369,14.1762833",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27xMxvFZCfmdTnHGrpb48jY0gFQSsY6T8mXXrKw1Dw6ngOaJ9ToUQ02nYnAUJpWjEN7oL5Kdw6in1OOpKwhMQe_jPDXvDJLbjSxduo71Tw27p9WrQeBBhxY-mIDwTUxy32cfkr_31fSog_NSd-JPtRF4TXOBbf50Z-wc3V7iU3nNyWLZ&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Czechia,,"382 78 Lipno nad Vltavou, Czechia",4.7,,
Unesco Werelderfgoed Kinderdijk,OPERATIONAL,"51.88774069999999,4.6380074",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zvQAvLKw2DH0aeSb1ohYaRCJuVupOzmDgYhHWuQ9Lt6dTHWPfkYTbSDpoVI8-6Ru5Vzvg7LjnrvKcdwhHrO3XAimyMA9667PQVnZmv80_faEFrXvPZV9EdEm-IhEzm9mxfJX_vVlmrixBzQuyY-SG9XOiJrs2Mxnq7PyihrrZFaMWo&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, museum, point_of_interest, establishment",Netherlands,Nederwaard 1,"Nederwaard 1, 2961 AS Kinderdijk, Netherlands",4.7,,
Hagia Sophia Grand Mosque,OPERATIONAL,"41.008583,28.980175",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27xezH8EHKOcLQvZXYi0rRtewFxjvX9RaXi6kweFlr7pKVWRiBbGcG_mvVbDQFN8vjFERadXTdfppHiE4ELv_adwdw9BKsBRrjKNzOZ3PWaYB9-PCNSFITztxmWBx7aQy41mlqU0lZFjaJ9U2ufuwt8O_18o647mDJAiQhaCTr7GEtmS&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"mosque, tourist_attraction, place_of_worship, point_of_interest, establishment",Türkiye,Ayasofya Meydanı No:1,"Sultan Ahmet, Ayasofya Meydanı No:1, 34122 Fatih/İstanbul, Türkiye",4.8,,
Mount Fuji,,"35.3606255,138.7273634",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zTHzy1PfGwmFgP6ufZxyO2gQoVy8DxkDdOdhqHI4sTjGedGkWoxqPFnDKIUq_nTUkFJNXaHRLwkzGFBGnZMJy22D7ItAxfieh1vDquh9PADAM9102r2FpJp_RRDTdJQYlvXLv-fGwThV8oF22qqKVd-nj6kd5Lcz1_X_F_19Xk_ple&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"natural_feature, establishment",Japan,Fujinomiya,"Mount Fuji, Kitayama, Fujinomiya, Shizuoka 418-0112, Japan",4.6,,
Stonehenge,OPERATIONAL,"51.17888199999999,-1.826215",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zW-aP5v3rBMYlm30bRCVggaK5WuiLksz6IBJdzwVn6eZo845Kf6cOhXlxvEyUWycR0JWGTRQxS-KClSwFRBFyUtg-XXCFU8X8aIrtoZBo7c4LRkIVAkPQQR_EKkeP90Zk2pykvJcoWc0fj7Z2ENSe-5jvhW26uKv6DBQHHweRqTi9B&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",United Kingdom,,"Salisbury SP4 7DE, United Kingdom",4.5,,
Big Ben,OPERATIONAL,"51.50072919999999,-0.1246254",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27ztQAUd0iiYJO1umHtwQHWFGfRdHQqdoBwLhb5Gk2akb-rgLcMmpd9NNCgBIDPAIg4BewmELjWwTb3smNQiGxwnQjvxazD9svr95V-JJRwrHl1VdSf_0OaHJ0KDbjdghDjFO79lliBCvqGJZZpKr--tlqfy1jr7zkKQ0N9TVk3o-gkA&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",United Kingdom,,"London SW1A 0AA, United Kingdom",4.5,,
Neuschwanstein Castle,OPERATIONAL,"47.557574,10.7498004",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27w7BJf0aoI3SMr4nxFIHojBnj7UUEIAYcBwERAGpzB5E5vpjcvd92u4rTJpq0HZKnoMRtFS24Aepw_C01mufhs0HhyXv6lgJrJJqxrZO6rNTbsoj5E7uQxbvelZG6G-vW1Eccvmd5GkVguwHE2eG_WaEBhCgoeIxamRUNhR4PCbR4C6&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Germany,Neuschwansteinstraße 20,"Neuschwansteinstraße 20, 87645 Schwangau, Germany",4.6,,
Maungawhau / Mount Eden,OPERATIONAL,"-36.8774335,174.7642824",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27wveoI2CZF74eGAYPYBbOeeA54Fa0pf5kjD9ONyBLC6oTmSATCAFwVW-2K2ZS9QAlbiyKMhCrw3oqfuZ28X1GMcLgzggNv6etmsz2fdM_rKT_hSfgR_uJfXcjYCH6kJQyPivu9_lNlWtN_dZ_YXFr23kI-XzB5C0BRrkjGpe-E83x7Y&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, park, point_of_interest, establishment",New Zealand,Mount Eden,"250 Mount Eden Road, Mount Eden, Auckland 1024, New Zealand",4.7,,
Loch Ness Statue,OPERATIONAL,"57.3643479,-4.393003999999999",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27wRWQIMFTw0O3Jomm-HpAMPHyleUrYlqK42ZTh3zxJaG8zDyV71sX5IGiBrAGsPyR2vPBG8QwBtvDX-WoIZc4G_EjOnD03J872nEviZNDgcR0kDgHLRi0LHt39CW9NxZ8vNlhu7z1MtbQalaasqeb-A-hTpX8FKdrkmyp140RRsUZKA&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",United Kingdom,A82,"A82, Inverness IV3 8LD, United Kingdom",4.1,,
