name,description,coordinates,image_url,category,country,city,address,rating
Marina Bay Sands Singapore,OPERATIONAL,"1.2837575,103.8591065",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zTvw-akdk3u4OM-VT4bo_ogrpI98Sz-4PSpEQCAUiBUGAs7JgMNorGeWpXbCmjMwGe6V5FfsaHpoR-pRfLbBJj92pY8QTYs8SpHeERZOcEjiIE9fESWA7OI1GZ8F_wJ5xLBABJ9xbY__ok-santxaNZzGxFnKwLgeiKdFxgy4aZ9mJ&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, lodging, restaurant, food, point_of_interest, establishment",Singapore 018956,,"10 Bayfront Ave, Singapore 018956",4.7
Geghard Monastery,OPERATIONAL,"40.1404412,44.8185299",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27wXrpCWT2eeZIyMtB4Vc_nuGN0pVs9L0Cz2Q9YDS6XENmcefrLzeeyNiOWZ9IbqzA__nMNtEQ23T2C1qPK65uHE3kkwds_pjxggfvJz8xU6J--_6-ziWjhUbI9gKO_x1HuaW_PYUdw-rlz5CZvHCRp0aqP1vAbqk55dOnjuD_AP9Urb&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, church, place_of_worship, point_of_interest, establishment",Armenia,4RR9+74,"4RR9+74, Mets Gilanlar, Armenia",4.8
Piazza del Duomo,OPERATIONAL,"43.7732956,11.2554785",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27xE9leiQTUMVA_51EdtU6pECFMwSj8CMP4_EG-cEtb1CIETMJ89AMxrz-rer1dK33oI9HJXl2AemBX16pAXBBSf3nepRQ10ufBx7cQEdz76-PS7axPQjTMxJ4kk4y6Uak86CUuHlgdc3TKaTSVkv28dgYiAt67jUBShsQTMZTj-fXH-&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Italy,Piazza del Duomo,"Piazza del Duomo, 50122 Firenze FI, Italy",4.8
Chùa Cầu Phố cổ Hội An,OPERATIONAL,"15.8770873,108.3260704",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27w5m_7va7PquiXDGAnIW5qZw_BB7p2OJ-GPGcko013Ab3gsesjrqFgvdwNQD34v0N7hGl7_yoRzFZaj1ty4zduIQl7Qv3GXUG2PMcoJuwJ1r1S7Z53JdF3hU-Y4FmzSlVPhy3xYVkvsdUbPfVTDEZky34_KmHOjkbTyFkSWS7-bpk92&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"point_of_interest, establishment",Vietnam,Hội An,"Chùa Cầu, Phường Minh An, Hội An, Quảng Nam, Vietnam",4.3
Belém Tower,OPERATIONAL,"38.6915837,-9.215977299999999",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27yvMmI-6PovtndEbYM71DGgY8vwco9O-9cyWvtrVQen0-YgBJa7-YTt4nC9cgFrhqKcuAp2NgXZ5Cc0Kdrj6wfLTaWRvoX7cDN6_uW_iYkwIPlPf2emaX6o5W07qntVoNts2xHxas7OTSufCM7MT-nzKy0H69Zmad15rOo57pCLgo5q&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Portugal,Av. Brasília,"Av. Brasília, 1400-038 Lisboa, Portugal",4.6
Travertines of Pamukkale,OPERATIONAL,"37.9243909,29.1232377",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27xBu70X4UjnpBN_IkXHyMjq3pUevwOJWTcoYpD3RpSHO3NW1s_0cjQN1i4mUzloF3O0USa8t46KI8mlcAs14P99A5AJ2_BCEojUjsiDXIXg1BH5wT76VMB9HJBJBgm1S1LktW87suhC7nsIX8HnRhq513maSNHFbtG2FVHwXiBMUr29&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Türkiye,Merkez,"Merkez, 20190 Pamukkale/Denizli, Türkiye",4.6
The Word of Life Mural,OPERATIONAL,"41.70220399999999,-86.2341363",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27wdKGaVRgMtL9U53Mus_l3srwYpIRNcCKw1EnvLVZm5E7tmgLbu-sdwegqoZvtjNyNwRsQ4FdW0BtPlVNi8Unvcv2oXUJqQR5FD434KldrUWgQRwKa695Q_5nS6TBkZ5tJoW2bGdPXWIF_sut_4nx3PqUVeCXS__R-GlDC4TU58cM_Y&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",United States,Notre Dame,"Notre Dame, IN 46556, United States",4.9
The Royal Palace in Fez,OPERATIONAL,"34.0532017,-4.993621699999999",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zeZtSkQMaMFPEB1yr2PJyDXAVfvZiGVROXC0Bd6vB0NtvZIytc8H4BFI6GkrIXbzsBnL5Ein3yMa7PAIRE1cpcGDqT7PK2AYZq4l3-uNqJPULlMxFw0_ZogJc_Ye5-lNwonxUnUQ05PQF-3AubzPMzOmqESTBrvgFSdvASYxQrvaGx&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"point_of_interest, establishment",Morocco,n1 boulakhsissat,"n1 boulakhsissat, Fès 33110, Morocco",4.4
The Motherland Calls,OPERATIONAL,"48.7423446,44.5370302",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27ysw02UDd0jYszbr295doi1TQSQedIvbAjvBcQEwJSKrRdELqkr3XX2vBhzrm-VrtAZI294EHvAusiBH6jnY1IpZm3itKrb2SkTdNjzXu_5kxpRJohKTNLDxf4v4kgXboNOG2R0ciqyglP7mUxmBWuSmEUwkYMyoj8XwNMjhOZVMFM2&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",400005,Volgograd Oblast,"Volgograd, Volgograd Oblast, Russia, 400005",4.9
Pergamon Ancient City,OPERATIONAL,"39.1328737,27.1838044",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27xKPoB--aWkuGP41BmGhnSoZPruWrXF3HSCZsthSRc_lS6Vd-OoONWkAdtFxL5eiAuGh17MI0XCJdV4TJy9waXllgivrGx9sx9ISHUvwNsiG5IkY3wjwQArobXjgwa82Wca33mu_HOPo_NEXrIxh0mlzEACYND4QQJXd2tAIPmOR88r&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"museum, point_of_interest, establishment",Türkiye,Akropol Cd. No:6,"Ulucamii, Akropol Cd. No:6, 35700 Bergama/İzmir, Türkiye",4.7
