name,description,coordinates,image_url,category,rating,city,country,website,address
The Great Pyramid of Giza,Largest of Egyptian pyramids in a complex also including temples & other Ancient artifacts.,"29.9792354,31.1342611",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJGymPrIdFWBQRJCSloj8vDIE/photos/AWYs27zTQ8NV5MNILeuJlFZAp2xOaVWT3XTpesXbdy19BP1o-o7DQjxVz-QI_fgs5KBpDgZay6hqPVlbiy9FbtWpVBK2-KUg-p3QKTAg7D-Cp6bhDZR11ib7FPNbbgJoulpaNWv-NxYwe8C2zzhdzvl_Ac-oNiSoVjau3ldy&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Landmark,4.6,Giza Governorate,Egypt,https://egymonuments.gov.eg/en/monuments/the-great-pyramid,"Al Haram, Nazlet El-Semman, Al Haram, Giza Governorate 3512201, Egypt"
Great Wall of China,"Ancient world wonder that winds for more than 8,850 km across China, with towers & walkways.","40.4319077,116.57037489999999",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJzyx_aNch8TUR3yIFlZslQNA/photos/AWYs27y-0oz1rtGvhz7F_q0WKwTYZLMW-PSfagwvZZ2zQonifiz-bU7cYt_ilZOBaV3yK5pStp2vd13NSEJm4T_5-aKuti0XMjntNApmUjVeZQmh5GuMR1dLvf_Jl6IEGAOHPkcUG-yZotlRCZK35_1_cI4BZgUCoZQQyo7N&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Place,4.3,Beijing,China,http://www.mutianyugreatwall.com/,"Huairou District, China, 101406"
Acropolis of Athens,Ruins of iconic 5th-century B.C. temple complex on Athens' rocky hilltop undergoing restoration.,"37.9715323,23.7257492",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJ86z1Nxi9oRQR9g3r9ULAl1w/photos/AWYs27xWcJ-OeITh2ysXv1meJiBqvRPfI7R5_C4nh7ZGKrf2siMHtdp75bUczMIy15AB5OcdZzC8Z58IFLb_vTxkXIhAtqcEuA6uYU0oxinsVBGdsKV4NinHeOvCq7s6Ku-GwzygklZiP8M7pq0n5Sog31YnyMlhicrbjv4&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Landmark,4.8,Athens,Greece,http://odysseus.culture.gr/h/3/gh351.jsp?obj_id=2384,"Athens 105 58, Greece"
Historic Sanctuary of Machu Picchu,Iconic hilltop ruins of a large 15th-century Inca city featuring numerous structures & terraces.,"-13.1631988,-72.5452621",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJVVVViV-abZERJxqgpA43EDo/photos/AWYs27zJXhLlOgG4UuZ5pZyfPKHapepU2ZQ6BDRKNqNTSgBEJxhYlb-sDNnobp8-sUphh2BZYhn1nj5GkINFp7Anb0lWos317ncSIaufXlJglZwIM40uJJGNG06AcVDcH2ceaGUk2JFNjwRVf1t_5Nc5sHubB8LIARbqyYjX&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Place,4.8,Cusco,Peru,https://www.machupicchu.gob.pe/,"08680, Peru"
Angkor Wat,"This iconic, sprawling temple complex is surrounded by a wide moat & features intricate carvings.","13.4124693,103.8669857",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJLSea6ooWEDERjUGwVxGoqz4/photos/AWYs27yHC4q_1BHzmE64lQSeWQ2Ej0vzvMJsUG5W9ljMO82Qal61nQT2R7gYH8YKoF-isf5sQl5jwBnOaKDadg2TBmFM_DK7BubhdA3INY-5FmyCvB2hJIZhaz2a2CCzKliwgKOoKdLlIEzQfziH7uonXOI3O_OWt6s_V7UH&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Place of Worship,4.8,Krong Siem Reap,Cambodia,,"Krong Siem Reap, Cambodia"
Statue of Liberty,"Iconic National Monument opened in 1886, offering guided tours & a museum, plus harbor & city views.","40.6892494,-74.04450039999999",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJPTacEpBQwokRKwIlDXelxkA/photos/AWYs27wdVVCHVsfetoONnbem3WEi4Wb5HcdKeiGtZ7hfw2l-H2aTHf7hGhdseYmHTNSel0oPChpGyRJ0DjjGlST_jU07tpJlI74SPd4z0G8ItpedTW7iodOspcTT1loE3gZLjE_J1FysGgoEck86mFcDcMsH8m6_oqj4J17O&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Landmark,4.7,New York,United States,https://www.nps.gov/stli/index.htm,"New York, NY 10004, USA"
Taj Mahal,"17th-century, Mughal-style, marble mausoleum with minarets, a mosque & famously symmetrical gardens.","27.175144799999998,78.0421422",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJbf8C1yFxdDkR3n12P4DkKt0/photos/AWYs27zC0Xb4kK8lPwzy4QRv7_XzJeXOumxMdipFjloKAzOt6ZAV4gBgbDpZs4jc9HRDiYKDb-JaNo7aFmZ6i5j-aS9PiBgVXkuzFqBAvabAxl68XXZQymk_P14pBUsTuCW4QcyE0IMZtMAc4S7NW0lPCxTAySKXYRKQq01M&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Monument,4.6,Agra,India,https://www.tajmahal.gov.in/,"Dharmapuri, Forest Colony, Tajganj, Agra, Uttar Pradesh 282001, India"
Eiffel Tower,"Gustave Eiffel's iconic, wrought-iron 1889 tower, with steps and elevators to observation decks.","48.858370099999995,2.2944812999999997",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJLU7jZClu5kcR4PcOOO6p3I0/photos/AWYs27yBqGHhxoD3jDk-bOGebEQ42uozDHiM_97E3TUiFivIWOSS6M3PKSjE6eA_ORelj9p5wFbNYwbUnMXTLIhS1LbuxlRcdBlDPAhDyWSJX4lNpDGuHO1YYhBOPnpDW2DYcBM5RVRaP4s0TdzxXBnZMTESSkC_Rg03ySQl&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Landmark,4.7,Paris,France,https://www.toureiffel.paris/fr,"Av. Gustave Eiffel, 75007 Paris, France"
Uluṟu-Kata Tjuṯa National Park,"Hiking trails, rock caves & ancient paintings in sacred aboriginal lands, plus iconic Uluru rock.","-25.3437797,131.0346514",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJgbjTfixsIysR5BrpX82GKts/photos/AWYs27xwTf5pjsqylLht-jGeIAfBFDyzi21iTqOr2MwnrbSg3K1-Mupj5I8Z1Ilie0e66vsJbHKk60XI7DVMUYpJd3WEjjR--tAAB7388LFdkFGZBd3fUsF5T506qUAdK_KZjitlqSXSEl2Wy9fFqGyT0lRF8pkYN6nr1wZB&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,National Park,4.8,Uluru,Australia,http://www.parksaustralia.gov.au/uluru,"Lasseter Hwy, Uluru NT 0872, Australia"
St. Basil's Cathedral,Multicolored domes top this 16th-century former cathedral that now contains a museum of the church.,"55.752522899999995,37.623086799999996",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJBZbmYllKtUYR5TrL54oWz6Q/photos/AWYs27zbhipNC2mqC7_pSH2TJgzq6yPCEC-Zr6aJyxnh4_0HeX59QSPNuVLGv9077c16VJ6wFRHne9FDAbbHfpXW8GOftVo7WmPUvKrtkpyGqpAwulfHe9f5asdlTw9RaYT3Evuym7m31N14KoOgn-wwKasJvUO7HDQYe_cd&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Church,4.8,Moskva,Russia,https://shm.ru/museum/hvb/,"Krasnaya ploshad, 7, Moskva, Russia, 109012"
Great Sphinx of Giza,"Iconic stone monument that is more than 4,500 years old & has a human face on a lion's body.","29.9752687,31.1375674",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJeamuo2JPWBQRqb1mQKbw08k/photos/AWYs27yUkp4QSjhAr-VU6U_u-PFPv1Nbk5XvLnTqtIv0kubPmXOYCtnV3mZdG7GZBqi5xRfbtg4ZXeO1I6HXFY1Z_CQ99BOmXtAojU1Atn6q5WHuknpO2QZnezznetlipsNST_YobgTxMffYnqpqnF8zhMf5r98Be4AQN3Hl&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Monument,4.7,Giza Governorate,Egypt,http://www.sca-egypt.org/eng/SITE_GIZA_MP.html,"Al Haram, Giza Governorate 3512201, Egypt"
Beautiful Blue Domed Church of Oia,,"36.461404099999996,25.375207699999997",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJv0caAY7LmRQR3jBnkADFU90/photos/AWYs27znNPv8raC58SLGndJTNUmDe-ivYl_WUkZtU0BYG3jNIlKc6boD-XwkcNzPL96-yH2C6bS4T5CdUiRP7o93fUmXmQUQYi1Ux-cp_LMEdotERTdOof4yTclD-7a8UaOX2smBXZtJJc4J2T2hLkCiuHwIli6E0HAwNbPk&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Tourist Attraction,4.5,Oía,Greece,,"Nik. Nomikou, Oía 847 02, Greece"
